Tag,basal_d,dbh,height,exposure,h_dbh,Notes,second coord,wsg
4617,27.4,13.8,5.7,3,,,,0.30931403
5650,31.8,13.6,5.9,3,,,,0.30931403
27891,24.3,12,3.5,2,,,,0.30931403
5650,31,15,6.05,3,,,- 5m from 5650,0.30931403
44786,23.1,10.8,2.5,2,,,,0.30931403
35973,23.8,10.6,3.1,2,,,,0.30931403
29487,27.7,13.1,4,2,,,,0.30931403
131978,NA,13.2,1.75,2,,"tree fell, starting to grow vertically again",,0.30931403
27934,31,14.2,4.1,2,,,,0.30931403
131984,27.3,13.6,3.6,2,,,,0.30931403
27915,26.2,13,3.5,2,,,,0.30931403
44776,29.9,13.6,4,3,,,,0.30931403
29069,26.5,13.8,4.25,2,,,,0.30931403
4648,29,15.2,12,4,,,,0.30931403
4641,31,15.1,9.25,3,,,,0.30931403
27857,41.9,18.2,7.85,3,,,,0.30931403
4647,29.4,13.3,7.2,3,,,,0.30931403
27963,31.3,16.5,7.7,2,,,,0.30931403
28018,31.7,15.1,5.7,2,,,,0.30931403
44782,19.9,9.6,2.3,2,,,,0.30931403
27935,31.8,13.4,4,2,,,,0.30931403
133119,33.5,15.8,4.1,2,,,,0.30931403
133119,20,11.9,0.9,1,,,-2m from 133119,0.30931403
133125,21.4,11.2,1.3,1,,fallen down but still Growing,,0.30931403
44687,21.8,13,3.6,2,,,,0.30931403
23208,28.4,14.2,2.45,2,,,,0.30931403
23209,31.9,14.5,4.3,2,,,,0.30931403
2691,35.1,17.3,6.85,3,,,,0.30931403
133129,24.5,14.2,3.15,2,,,,0.30931403
133129,22,13.1,1.2,1,,,-3m from 133129,0.30931403
23207,26.7,12.3,2.1,2,,,,0.30931403
23214,27.6,14.2,3.1,2,,,,0.30931403
9397,30.6,15.5,4.15,2,,,,0.30931403
8450,24.2,11.3,2.9,2,,,,0.30931403
8450,31.4,15,4.85,3,,,-1m from 8450 ( lost tag),0.30931403
23277,23.7,13.4,3.5,2,,,,0.30931403
23278,22.7,11.5,2.7,2,,,,0.30931403
133136,25.7,12.9,2.2,2,,,,0.30931403
23272,21.5,12.3,1.5,1,,,- 2m from 23272,0.30931403
23272,30,14.8,3.2,2,,,,0.30931403
133132,25.6,11.5,2.3,2,,,,0.30931403
2691,36.4,17.1,6.3,3,,,,0.30931403
3657,38.2,17.2,11.8,4,,,,0.30931403
2702,28.3,17.6,14.3,4,,,,0.30931403
44297,30.6,14.2,3.8,2,,,,0.30931403
44298,31.3,13.8,4.5,2,,,,0.30931403
133140,34,15.8,3.4,2,,,,0.30931403
44296,28.9,14.8,3.8,2,,,,0.30931403
2727,31.5,15.4,5.9,2,,,,0.30931403
2733,34.6,14.9,10.4,3,,,,0.30931403
23375,29.1,14.4,5.55,2,,,,0.30931403
23360,28.8,14.6,4.7,2,,,,0.30931403
2747,44.4,19.1,14.75,4,,,,0.30931403
2736,35.5,16.5,8,3,,,,0.30931403
133145,17.4,8.1,0.95,1,,,- close to 133145,0.30931403
3689,41.9,17.9,10.55,3,,,,0.30931403
2753,38,16.7,15.65,4,,,,0.30931403
44291,22,10.5,2.55,2,,,,0.30931403
133151,22.2,12.6,1.7,2,,,,0.30931403
2745,38.9,17.1,11.4,3,,,,0.30931403
23392,30.3,14.1,4.6,2,,,,0.30931403
130513,26.7,12.6,2,2,,,,0.30931403
130512,13.9,7.6,1.5,2,,,,0.30931403
3689,44.2,17.9,8.6,3,,,,0.30931403
27288,27.7,13,3.2,2,,,,0.30931403
27293,30,14.5,7.25,3,,,,0.30931403
27192,27.6,12.45,4.2,2,,,,0.30931403
27391,35.2,15.3,6.3,3,,,,0.30931403
3673,31.7,18.2,6.5,3,,,,0.30931403
3670,28.4,16.1,5.65,2,,,,0.30931403
19923,26.4,13.1,3.05,2,,,,0.30931403
3691,38.4,16,10.85,4,,,,0.30931403
3659,35.6,17.1,7.85,3,,,,0.30931403
130530,18.1,9.9,1.7,1,,,,0.30931403
8452,27.1,13.8,4.1,2,,,,0.30931403
8150,28.9,13.2,4.2,2,,,,0.30931403
50812,20.4,9.5,2.4,1,,,,0.30931403
132237,22.4,9.7,2.9,2,,,,0.30931403
173396,24.5,11.2,2.4,2,,,,0.30931403
132241,19.2,10,1.8,1,,,,0.30931403
8268,22.8,10.8,3.7,2,,,,0.30931403
132245,26.6,13.2,2.5,2,,,,0.30931403
8309,19.7,8.3,2.3,2,,,,0.30931403
18406,31.3,13.5,5.2,2,,,,0.30931403
182209,38.9,16.8,6.6,3,,,,0.30931403
33920,22.5,7.8,1.8,1,,,,0.30931403
18494,27.1,13.8,4.65,2,,,,0.30931403
50449,29.4,13.6,3.3,2,,,,0.30931403
1200,30,15.2,6,2,,,,0.30931403
1199,39.6,19.4,14.4,4,,,,0.30931403
1187,36.4,19.1,13.15,4,,,,0.30931403
131556,18.4,7.3,1.8,1,,,,0.30931403
18466,33.3,14.7,6.05,3,,,,0.30931403
131555,16,7,1.65,1,,,,0.30931403
18471,25.3,10.4,3.75,2,,,,0.30931403
18468,36.4,15.9,8,3,,,,0.30931403
7439,32.9,14.1,5.7,2,,,,0.30931403
18468,37.7,18.1,12.7,3,,,-3m from 18468,0.30931403
184,33.4,16,13.4,4,,,,0.30931403
189,32.5,13.4,5.5,2,,,,0.30931403
190,34.6,13.6,8.3,3,,,,0.30931403
1163,29.8,13.1,7.6,3,,,,0.30931403
19097,17.9,8.7,1.05,1,,,-Close to 19097,0.30931403
19097,26.8,11.9,6.15,3,,,,0.30931403
1153,29.5,15.1,8.15,3,,,,0.30931403
18437,35.3,14.4,6.65,3,,,,0.30931403
1150,31.6,13.9,8.4,3,,,,0.30931403
18483,32.9,14.2,7.2,3,,,,0.30931403
54999,24.1,10.7,2.9,2,,,,0.30931403
1149,30.8,17.5,12,4,,,,0.30931403
11557,29.9,12.3,4.3,2,,,,0.30931403
11557,33.8,14,9.2,4,,,-10m from 11557,0.30931403
33927,20.7,10.6,1.65,2,1.16,,,0.30931403
33927,16.9,8.6,1.1,1,0.62,,- Near 33927,0.30931403
8475,36.9,14.6,6.4,3,,,,0.30931403
1205,28.7,12.4,4.4,2,,,,0.30931403
131569,20.1,10.4,1.25,1,0.7,,,0.30931403
131567,17.7,9.3,1.6,1,0.97,,,0.30931403
11230,34.3,15.2,6.3,3,,,,0.30931403
11236,26.8,13,4.2,2,,,,0.30931403
131564,13.8,8.6,1.7,1,,,,0.30931403
176309,25,11.7,1.95,2,0.75,,,0.30931403
1437,33.9,13.1,5.9,3,,,,0.30931403
7461,34.5,14,11.9,4,,,,0.30931403
7461,28.4,12.8,10,4,,,- 5m from 7461,0.30931403
7461,31.7,15.2,5.4,2,,,-9m from 7461,0.30931403
129927,25.5,10.1,1.95,2,,,,0.30931403
172927,28.9,11.3,1.9,2,,,,0.30931403
211,37.5,16.3,10.2,4,,,,0.30931403
213,34.6,17.4,12.2,4,,,,0.30931403
7417,32.6,14.8,9.4,3,,,,0.30931403
214,32.7,14.4,8.8,3,,,,0.30931403
219,38.4,18.8,10.9,4,,,,0.30931403
40452,29.8,14.4,6.2,2,,,,0.30931403
40450,26.9,18.1,9.8,4,,,,0.30931403
129968,23.4,10.6,3,2,,,,0.30931403
129969,24.9,11.5,3.8,2,,,,0.30931403
129952,23.3,10.1,3.3,2,,,,0.30931403
11088,36.6,17.2,10,4,,,,0.30931403
172396,17.1,7.9,1.1,1,0.46,,-Near 172396,0.30931403
172936,21.4,11.7,1.7,1,1.02,,,0.30931403
13325,32.1,12.3,7.9,3,,,,0.30931403
130008,18.7,8.8,1.8,1,0.77,,-2m from 130008,0.30931403
130008,15.5,10.5,1,1,0.4,,-1m from 130008,0.30931403
130008,22.4,10.3,2.9,2,,,,0.30931403
13008,16,10.5,0.85,1,0.2,,-1m from 130008,0.30931403
130008,13.6,7.5,1,1,0.35,,-2m from 130008,0.30931403
130008,15.8,13.8,0.95,1,0.15,,-4m from 130008,0.30931403
40492,33,15.1,6.5,2,,,,0.30931403
130017,19.2,7.8,1.5,1,1.05,,,0.30931403
130018,19.7,9.7,2.45,2,,,,0.30931403
130019,17.7,8.5,1.3,1,0.8,,,0.30931403
9297,33.8,16.1,7.7,3,,,,0.30931403
268,30.7,16.2,6.4,3,,,,0.30931403
50907,27.2,11.8,4.5,2,,,,0.30931403
7497,31.5,14.1,4.2,2,,,,0.30931403
7497,13.2,10.9,0.7,1,0.25,,-1m from 7497,0.30931403
